1 experiment
BFS:,155,7241
BestFS:,305,8438
AStar:,155,7880

59 experiment
DFS:,1292,63027
BFS:,104,5064
BestFS:,144,4043
AStar:,104,5028

60 experiment
DFS:,1410,67690
BFS:,114,5392
BestFS:,224,6036
AStar:,114,5816

61 experiment
DFS:,1545,74598
BFS:,121,5942
BestFS:,163,4612
AStar:,121,6140

62 experiment
DFS:,2968,142796
BFS:,154,7344
BestFS:,252,6913
AStar:,154,8008

63 experiment
DFS:,3002,147076
BFS:,152,7425
BestFS:,266,6358
AStar:,152,7931

64 experiment
DFS:,1981,98283
BFS:,133,6148
BestFS:,159,4990
AStar:,133,6473

65 experiment
DFS:,4060,199627
BFS:,180,8433
BestFS:,230,6292
AStar:,180,8921

66 experiment
DFS:,726,35685
BFS:,82,4193
BestFS:,150,4584
AStar:,82,4365

67 experiment
DFS:,3119,149950
BFS:,155,7035
BestFS:,319,8556
AStar:,155,7012

68 experiment
DFS:,845,40237
BFS:,89,4673
BestFS:,133,3759
AStar:,89,4419

69 experiment
DFS:,128,6193
BFS:,46,2223
BestFS:,66,1627
AStar:,46,2486

70 experiment
DFS:,1485,73482
BFS:,109,5437
BestFS:,161,4514
AStar:,109,5758

71 experiment
DFS:,398,19476
BFS:,86,3799
BestFS:,124,3732
AStar:,86,4373

72 experiment
DFS:,3328,158532
BFS:,160,7083
BestFS:,290,7542
AStar:,160,8011

73 experiment
DFS:,2368,115336
BFS:,136,7053
BestFS:,216,5650
AStar:,136,6406

74 experiment
DFS:,240,11243
BFS:,44,2234
BestFS:,54,1590
AStar:,44,2350

75 experiment
DFS:,593,28193
BFS:,83,4074
BestFS:,133,3611
AStar:,83,3790

76 experiment
DFS:,4170,202584
BFS:,180,9306
BestFS:,380,9819
AStar:,180,8509

77 experiment
DFS:,989,48920
BFS:,109,5527
BestFS:,199,5534
AStar:,109,5172

78 experiment
DFS:,474,22638
BFS:,66,3375
BestFS:,96,2907
AStar:,66,3317

79 experiment
DFS:,1186,57715
BFS:,108,5020
BestFS:,170,4923
AStar:,108,6006

80 experiment
DFS:,1184,55687
BFS:,106,5588
BestFS:,150,3881
AStar:,106,4864

81 experiment
DFS:,2408,117443
BFS:,140,6530
BestFS:,228,6157
AStar:,140,7369

82 experiment
DFS:,698,34141
BFS:,110,5456
BestFS:,158,4267
AStar:,110,5726

83 experiment
DFS:,680,33923
BFS:,110,5502
BestFS:,180,5206
AStar:,110,5590

84 experiment
DFS:,254,12360
BFS:,56,2782
BestFS:,68,2299
AStar:,56,2752

85 experiment
DFS:,1188,56308
BFS:,100,4396
BestFS:,184,4889
AStar:,100,4570

86 experiment
DFS:,109,4984
BFS:,41,1810
BestFS:,61,1641
AStar:,41,2051

87 experiment
DFS:,375,17096
BFS:,99,4819
BestFS:,157,4261
AStar:,99,4752

88 experiment
DFS:,2050,100071
BFS:,126,6509
BestFS:,234,6471
AStar:,126,6140

89 experiment
DFS:,1296,61232
BFS:,100,4585
BestFS:,164,4434
AStar:,100,5020

90 experiment
DFS:,2966,141161
BFS:,152,7681
BestFS:,222,6254
AStar:,152,7574

91 experiment
DFS:,221,10592
BFS:,45,2227
BestFS:,55,1471
AStar:,45,1787

92 experiment
DFS:,1013,48760
BFS:,101,5179
BestFS:,143,4098
AStar:,101,5181

93 experiment
DFS:,2840,138125
BFS:,152,7497
BestFS:,264,7042
AStar:,152,7527

94 experiment
DFS:,584,29277
BFS:,80,4205
BestFS:,114,3329
AStar:,80,4351

95 experiment
DFS:,1720,82673
BFS:,120,5516
BestFS:,162,4106
AStar:,120,5648

96 experiment
DFS:,1176,54736
BFS:,120,5979
BestFS:,180,4522
AStar:,120,6022

97 experiment
DFS:,458,22105
BFS:,66,3184
BestFS:,88,2093
AStar:,66,2705

98 experiment
DFS:,868,42572
BFS:,88,4235
